source_id,l,b,ra,dec,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dist_pc,mu_l,mu_b,x,y,z
6.43311E+16,167.5227899,-25.99505453,55.63798849,21.70450067,20.71035705,0.21056564,-45.81688324,0.152455957,,,7.373209341,0.110095407,16.276875,18.037025,14.996086,135.6261505,-0.317690048,5.705675544,-119.0258519,26.33793922,-59.44419439
6.67818E+16,166.2416955,-23.36681367,56.61848124,24.43374538,20.25150225,0.118805685,-43.41452666,0.059212137,3.496016224,2.93357219,7.37347028,0.055284259,10.8633795,11.273802,10.305752,135.6213509,-0.180476985,4.256444616,-120.926046,29.60919601,-53.78975468
6.68115E+16,165.961144,-23.12589893,56.58539698,24.78528924,18.60372851,0.05507453,-45.13488356,0.039119347,3.405442971,2.963777257,7.374339677,0.02913722,13.357169,14.180536,12.47502,135.6053618,-0.532643834,4.928638222,-120.9836986,30.25198926,-53.25951519
6.38261E+16,169.1804243,-24.43460288,57.96492208,21.82121737,20.44775384,0.189452722,-45.1667911,0.126733226,,,7.374383277,0.099775562,16.313375,17.979944,15.051803,135.6045601,-0.296862931,5.262310897,-121.2641971,23.17552596,-56.09354882
6.89568E+16,162.8344709,-25.0688305,52.79970138,25.16486262,21.21468703,0.121005203,-45.17649155,0.083892749,,,7.374467971,0.066259168,13.755009,14.699172,12.785538,135.6030027,-0.193826849,5.416975496,-117.3577253,36.25114271,-57.45601181
6.48577E+16,167.1815814,-24.49024232,56.48744901,23.02458799,20.70882456,0.222810013,-46.42941978,0.1497493,,,7.37474183,0.124328051,16.534473,18.2664,15.254718,135.5979671,-0.373052893,6.092669045,-120.3230466,27.37760993,-56.21067175
6.49171E+16,167.7048225,-23.9392429,57.27475281,23.10592414,19.48724295,0.21360366,-46.74190855,0.161953027,,,7.37539674,0.103183651,16.101727,17.726547,14.861473,135.5859265,-0.574334416,6.067110825,-121.0798752,26.38920938,-55.01651487
7.19177E+16,162.9496893,-20.36540771,56.27610153,28.70519403,20.31855138,0.193590105,-45.3078473,0.149855702,,,7.376205509,0.131763337,16.747536,18.46904,15.471858,135.5710601,-0.326319857,5.321907796,-121.5105221,37.26639547,-47.17966834
6.65023E+16,167.2157061,-23.35483625,57.35030754,23.83904871,24.70589246,0.2103181,-45.96609712,0.123799946,5.331048113,0.750804381,7.376478665,0.099101487,11.108135,11.542819,10.5438385,135.5660398,0.272128547,6.72764367,-121.3733375,27.5405609,-53.74180473
6.64838E+16,167.5823099,-22.87301529,57.9794345,23.9615457,18.90652239,0.214419643,-46.07326667,0.135375351,,,7.377598586,0.124683733,16.61972,18.316597,15.34345,135.5454608,-0.585758242,5.541506533,-121.9656099,26.85555797,-52.68530104
